cluster,Cassava Irrigation High,Cassava Irrigation Intermediate,Cassava Rain-fed High,Cassava Rain-fed Intermediate,Cassava Rain-fed Low,Coffee Irrigation High,Coffee Irrigation Intermediate,Coffee Rain-fed High,Coffee Rain-fed Intermediate,Coffee Rain-fed Low,Maize Irrigation High,Maize Irrigation Intermediate,Maize Rain-fed High,Maize Rain-fed Intermediate,Maize Rain-fed Low,Sugarcane Irrigation High,Sugarcane Irrigation Intermediate,Sugarcane Rain-fed High,Sugarcane Rain-fed Intermediate,Sugarcane Rain-fed Low,Other Irrigation High,Other Irrigation Intermediate,Other Rain-fed High,Other Rain-fed Intermediate,Other Rain-fed Low,Rice Irrigation High,Rice Irrigation Intermediate,Rice Rain-fed High,Rice Rain-fed Intermediate,Rice Rain-fed Low,Vegetables and fruits Irrigation High,Vegetables and fruits Irrigation Intermediate,Vegetables and fruits Rain-fed High,Vegetables and fruits Rain-fed Intermediate,Vegetables and fruits Rain-fed Low
1,0.019452229299363057,0.012585987261146498,0.0011210191082802548,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0012038216560509554,0.00110828025477707,0.001,0.001,0.001,0.03188535031847134,0.021312101910828028,0.0019936305732484077,0.001050955414012739,0.001,0.001,0.001,0.001,0.001,0.001,0.04605732484076433,0.03851592356687898,0.001,0.001,0.001,0.013756141947224748,0.010107370336669698,0.0010555050045495903,0.0008544131028207456,0.0006178343949044578
2,0.07073821989528796,0.05824083769633508,0.037036649214659684,0.030659685863874343,0.021408376963350788,0.0,0.0,0.0,0.0,0.0,0.04263874345549738,0.038083769633507854,0.0010052356020942407,0.0010104712041884816,0.001094240837696335,0.1033979057591623,0.08621465968586388,0.062151832460732984,0.05186910994764398,0.037753926701570684,0.04458115183246073,0.03961780104712041,0.001,0.001,0.001418848167539267,0.08401570680628272,0.07564921465968587,0.0015549738219895288,0.0014083769633507855,0.0010471204188481674,0.05577337322363501,0.0479925205684368,0.02429693343305908,0.020620792819745694,0.014799551234106208
3,0.0617192429022082,0.04985488958990536,0.01920504731861199,0.00982334384858044,0.002274447949526814,0.0,0.0,0.0,0.0,0.0,0.0011608832807570978,0.001053627760252366,0.001,0.001,0.001,0.07839747634069401,0.0630378548895899,0.031593059936908516,0.017110410094637225,0.004094637223974764,0.003779179810725552,0.002630914826498423,0.001,0.001,0.001,0.015126182965299684,0.01196845425867508,0.001,0.001,0.001,0.044186119873817,0.03686345200540784,0.013353312302839105,0.009520504731861194,0.004701216764308245
4,0.044458823529411766,0.03369019607843137,0.006219607843137255,0.002219607843137255,0.00103921568627451,0.0,0.0,0.0,0.0,0.0,0.0016784313725490196,0.0014705882352941178,0.001,0.001,0.001,0.05741176470588236,0.04338823529411765,0.012058823529411764,0.004023529411764706,0.0011333333333333332,0.0023607843137254904,0.0017450980392156863,0.001,0.001,0.001,0.01279607843137255,0.010027450980392157,0.001,0.001,0.001,0.030567507002801107,0.0255501400560224,0.007910364145658261,0.005626890756302522,0.002405602240896359
5,0.3818835616438356,0.36036986301369867,0.34499315068493147,0.31954109589041096,0.27522602739726026,0.46306164383561643,0.4379246575342466,0.42614383561643837,0.397027397260274,0.3461986301369863,0.3293767123287671,0.31260958904109587,0.001,0.001,0.001,0.45313698630136984,0.42804794520547945,0.4162123287671233,0.3871164383561644,0.33632191780821913,0.2957260273972603,0.27994520547945206,0.001,0.001,0.001,0.46663698630136985,0.4444657534246575,0.001,0.001,0.001,0.31410469667318974,0.29535029354207426,0.17405185909980428,0.16188747553816057,0.14068395303326817
6,0.3230962962962963,0.2979185185185185,0.2784518518518519,0.2515925925925926,0.2050888888888889,0.426,0.39512592592592594,0.3813333333333333,0.34876296296296294,0.2924222222222222,0.2765111111111111,0.2578888888888889,0.001,0.001,0.0010074074074074074,0.41616296296296296,0.384962962962963,0.37145185185185187,0.33860740740740736,0.28174074074074074,0.2574740740740741,0.23856296296296295,0.001,0.001,0.001,0.4219481481481482,0.3967407407407408,0.006407407407407408,0.00602962962962963,0.0044444444444444444,0.281532275132275,0.2603216931216931,0.15282857142857134,0.13926349206349206,0.11589523809523802
7,0.22443728813559322,0.20388813559322033,0.17698728813559322,0.15567118644067796,0.11937118644067796,0.2984618644067797,0.2732771186440678,0.250864406779661,0.22483474576271187,0.18041694915254236,0.16705762711864405,0.15279745762711863,0.0010440677966101694,0.0011254237288135594,0.0014406779661016948,0.28509322033898304,0.25984067796610166,0.23744322033898305,0.21132033898305086,0.1666559322033898,0.16827203389830508,0.15195677966101695,0.001276271186440678,0.0012813559322033899,0.0016440677966101695,0.3097008474576271,0.28768050847457627,0.001771186440677966,0.0014618644067796612,0.0012923728813559322,0.20576065375302668,0.18813644067796595,0.08956319612590805,0.0797588377723971,0.0631457627118644
8,0.1430076775431862,0.12395393474088291,0.09429942418426104,0.07561804222648752,0.04628790786948176,0.2213109404990403,0.19493282149712093,0.17180614203454894,0.14541074856046066,0.10244529750479846,0.11893474088291747,0.10400575815738963,0.0019500959692898272,0.0023589251439539347,0.0015604606525911708,0.2066468330134357,0.18020537428023034,0.1569443378119002,0.13038387715930902,0.08703646833013436,0.12609213051823417,0.10909980806142035,0.0014145873320537427,0.003907869481765835,0.0029385796545105566,0.25413819577735125,0.2299731285988484,0.0010057581573896352,0.001,0.001,0.14491774060871937,0.12749520153550875,0.058894707979160986,0.049408006580751326,0.035491088565944635
9,0.10083032490974729,0.08720216606498195,0.05475451263537906,0.04134296028880866,0.021285198555956678,0.14663537906137186,0.12951624548736462,0.09898555956678701,0.08138989169675091,0.05230324909747292,0.020025270758122743,0.016880866425992777,0.0012202166064981949,0.0011371841155234656,0.00103971119133574,0.13131768953068593,0.11427797833935019,0.08311913357400723,0.06540433212996391,0.03665342960288809,0.01820216606498195,0.014350180505415162,0.001299638989169675,0.0010830324909747292,0.001,0.08093501805054151,0.07244404332129964,0.0009927797833935018,0.0009927797833935018,0.002664259927797834,0.09096338318720991,0.07951985559566789,0.027350180505415156,0.021922640536358937,0.014539969056214538
10,0.3671752873563219,0.3442787356321839,0.32230172413793107,0.29737068965517244,0.2537112068965517,0.45125862068965517,0.4246048850574713,0.4064022988505747,0.37770258620689656,0.3272902298850575,0.32065660919540234,0.30329597701149424,0.001014367816091954,0.001007183908045977,0.0010043103448275862,0.4409080459770115,0.41418390804597705,0.3960244252873563,0.367242816091954,0.31675287356321835,0.36267241379310344,0.33885919540229886,0.001,0.001,0.001,0.470632183908046,0.4475603448275862,0.001,0.001,0.001,0.24387664203612502,0.22780623973727407,0.12755685550082116,0.11880500821018057,0.10339367816091952
11,0.004072916666666667,0.0015104166666666666,0.001,0.001,0.001,0.02402083333333333,0.0148125,0.0010833333333333333,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.009947916666666666,0.0036354166666666666,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.018197916666666668,0.013260416666666667,0.001,0.001,0.001,0.010421130952380947,0.006943452380952376,0.0018467261904761914,0.0011190476190476193,0.0008571428571428571
12,0.03587203791469194,0.02623222748815166,0.004151658767772511,0.0017488151658767773,0.001014218009478673,0.0683222748815166,0.05584360189573459,0.023635071090047394,0.014360189573459716,0.00390521327014218,0.0046066350710900475,0.0033412322274881515,0.0011469194312796209,0.001023696682464455,0.001,0.05347867298578199,0.04072511848341232,0.011355450236966824,0.005009478672985782,0.001213270142180095,0.003014218009478673,0.0017819905213270141,0.001,0.001,0.001,0.04551658767772512,0.03973933649289099,0.001,0.001,0.001,0.0345781990521327,0.027280974949221402,0.007714285714285717,0.005773188896411647,0.0029681787406905884
13,0.0,0.0,0.0,0.0,0.0,0.21353846153846154,0.19046153846153846,0.16753846153846155,0.14461538461538462,0.10715384615384616,0.15246153846153845,0.12146153846153847,0.001,0.0031538461538461538,0.0010769230769230769,0.0,0.0,0.0,0.0,0.0,0.0043076923076923075,0.0038461538461538464,0.00015384615384615385,0.00015384615384615385,0.00015384615384615385,0.17307692307692307,0.15938461538461537,0.0,0.0,0.0,0.12208791208791209,0.10899999999999999,0.03716483516483516,0.03192307692307692,0.02421978021978022
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003227272727272727,0.0025454545454545456,0.001,0.001,0.001,0.046363636363636364,0.03272727272727273,0.005681818181818182,0.0019090909090909091,0.001,0.0016363636363636365,0.0013636363636363635,0.001,0.001,0.001,0.01740909090909091,0.014090909090909091,0.001,0.001,0.001,0.023850649350649348,0.02043506493506493,0.004857142857142858,0.0034025974025974027,0.0014610389610389609
15,0.0,0.0,0.0,0.0,0.0,0.07823333333333334,0.06523333333333334,0.048233333333333336,0.04016666666666666,0.028300000000000002,0.055600000000000004,0.046200000000000005,0.0023333333333333335,0.001,0.001,0.0655,0.0544,0.04243333333333333,0.0352,0.024233333333333336,0.0070999999999999995,0.0064333333333333334,0.0012333333333333335,0.0010333333333333334,0.001,0.066,0.05913333333333333,0.0008,0.0008,0.0008,0.041785714285714294,0.03628571428571428,0.013171428571428572,0.011066666666666664,0.00796190476190476
