cluster,Cassava Irrigation High,Cassava Irrigation Intermediate,Cassava Rain-fed High,Cassava Rain-fed Intermediate,Cassava Rain-fed Low,Coffee Irrigation High,Coffee Irrigation Intermediate,Coffee Rain-fed High,Coffee Rain-fed Intermediate,Coffee Rain-fed Low,Maize Irrigation High,Maize Irrigation Intermediate,Maize Rain-fed High,Maize Rain-fed Intermediate,Maize Rain-fed Low,Sugarcane Irrigation High,Sugarcane Irrigation Intermediate,Sugarcane Rain-fed High,Sugarcane Rain-fed Intermediate,Sugarcane Rain-fed Low,Other Irrigation High,Other Irrigation Intermediate,Other Rain-fed High,Other Rain-fed Intermediate,Other Rain-fed Low,Rice Irrigation High,Rice Irrigation Intermediate,Rice Rain-fed High,Rice Rain-fed Intermediate,Rice Rain-fed Low,Vegetables and fruits Irrigation High,Vegetables and fruits Irrigation Intermediate,Vegetables and fruits Rain-fed High,Vegetables and fruits Rain-fed Intermediate,Vegetables and fruits Rain-fed Low
1,0.8235111111111111,0.7998666666666667,0.8240222222222222,0.8001111111111111,0.7565555555555555,0.0,0.0,0.0,0.0,0.0,0.4871111111111111,0.47444444444444445,0.4873777777777778,0.4746,0.4510444444444444,1.1430222222222222,1.1100444444444444,1.1435111111111111,1.1105333333333334,1.0502444444444445,0.5535333333333333,0.5369777777777778,0.5535333333333333,0.5369777777777778,0.5068,0.6748666666666667,0.6552888888888889,0.6732,0.654,0.6238222222222222,0.1797142857142857,0.17057142857142862,0.18002222222222217,0.170815873015873,0.15239682539682547
2,0.8025454545454545,0.7782727272727272,0.8029545454545455,0.7786818181818181,0.7341363636363636,0.0,0.0,0.0,0.0,0.0,0.47863636363636364,0.4658181818181818,0.47890909090909095,0.466,0.44177272727272726,1.1168636363636362,1.083090909090909,1.116909090909091,1.083590909090909,1.0219545454545456,0.5617727272727272,0.5449545454545455,0.5617727272727272,0.5449545454545455,0.5139090909090909,0.6901363636363637,0.6700454545454545,0.6780909090909091,0.6613636363636364,0.6301363636363636,0.3646623376623377,0.352435064935065,0.36135064935064937,0.350525974025974,0.3301688311688311
3,0.8086666666666666,0.7843,0.8087777777777778,0.7847555555555555,0.7403222222222222,0.0,0.0,0.0,0.0,0.0,0.4906777777777778,0.4775888888888889,0.4908222222222222,0.4777111111111111,0.45337777777777777,1.128011111111111,1.0941555555555555,1.1262666666666667,1.0944333333333334,1.0329444444444444,0.5545666666666668,0.5376333333333333,0.554611111111111,0.5376333333333333,0.5066666666666667,0.6807888888888889,0.6605333333333333,0.6881,0.6712111111111111,0.6396111111111111,0.18658412698412702,0.17956349206349204,0.18676031746031743,0.17970793650793643,0.16741428571428574
4,0.9648918918918918,0.9273513513513514,0.7855945945945946,0.7755675675675676,0.7541081081081081,0.0,0.0,0.0,0.0,0.0,0.47602702702702704,0.4556756756756757,0.467,0.4502162162162162,0.4178378378378378,1.3535135135135135,1.3006216216216218,0.9601621621621622,0.9758378378378378,0.9864594594594595,0.591918918918919,0.5671351351351351,0.47183783783783784,0.45113513513513515,0.4237567567567568,0.6862702702702703,0.656864864864865,0.5617567567567567,0.5401891891891891,0.49681081081081085,0.5361351351351351,0.5139034749034748,0.41162162162162164,0.40485714285714286,0.3902741312741312
5,0.7916578947368421,0.7665526315789474,0.7847631578947368,0.7641842105263158,0.7213421052631579,0.0,0.0,0.0,0.0,0.0,0.5397631578947368,0.5248947368421053,0.5401052631578946,0.5250526315789474,0.497421052631579,1.1093684210526318,1.074421052631579,1.0942894736842106,1.067657894736842,1.0109473684210526,0.559921052631579,0.5424473684210526,0.5603421052631579,0.5428947368421053,0.5110526315789473,0.6915263157894737,0.6708421052631579,0.6792631578947369,0.6622105263157895,0.630157894736842,0.3419060150375941,0.326484962406015,0.335563909774436,0.3219060150375939,0.30283834586466163
6,0.7663866666666667,0.74,0.7658533333333334,0.7405733333333334,0.6930666666666667,0.0,0.0,0.0,0.0,0.0,0.6180399999999999,0.5994666666666667,0.6183466666666667,0.5998533333333333,0.56588,1.0715599999999998,1.03488,1.06848,1.0353333333333332,0.9618133333333334,0.5767599999999999,0.5588533333333333,0.5772533333333333,0.5593066666666666,0.5265866666666666,0.69852,0.6769333333333333,0.67148,0.65276,0.6184,0.4790285714285715,0.45249523809523806,0.4737466666666665,0.44917142857142855,0.4248076190476191
7,0.7557073170731707,0.7303658536585366,0.7556341463414634,0.7308048780487805,0.6854146341463414,0.0,0.0,0.0,0.0,0.0,0.5490731707317074,0.5323170731707317,0.5495853658536586,0.5330243902439025,0.4984878048780488,1.0513658536585364,1.0163170731707318,1.0506829268292683,1.0166585365853658,0.9205853658536586,0.5549756097560976,0.5382439024390244,0.555390243902439,0.5384634146341464,0.5075365853658537,0.6714390243902439,0.6510487804878048,0.6449024390243903,0.6278536585365854,0.5958048780487805,0.4768780487804879,0.4551114982578398,0.4736341463414632,0.4532473867595819,0.425191637630662
8,0.73705,0.71,0.7336,0.7102999999999999,0.66255,0.0,0.0,0.0,0.0,0.0,0.60005,0.5812999999999999,0.60075,0.5816,0.5468500000000001,1.0281500000000001,0.9909,1.0195,0.9907999999999999,0.8272,0.5688500000000001,0.5508,0.5689,0.5508,0.51775,0.6788,0.6567000000000001,0.6364500000000001,0.6171,0.58375,0.4872428571428571,0.47114285714285714,0.48010714285714284,0.46647142857142854,0.43615714285714285
9,0.7726506024096385,0.7453795180722891,0.7574156626506023,0.7391686746987951,0.6962650602409639,0.0,0.0,0.0,0.0,0.0,0.6299277108433735,0.6108614457831326,0.6302590361445783,0.6111987951807228,0.5762048192771084,1.0902289156626508,1.0519819277108433,1.0644578313253013,1.0402469879518073,0.9782530120481928,0.5801084337349398,0.5613253012048193,0.5804819277108434,0.5617590361445783,0.5275903614457832,0.7132349397590362,0.6908915662650602,0.6794698795180723,0.6598373493975904,0.6239156626506024,0.47996471600688484,0.452053356282272,0.4696110154905334,0.4456643717728054,0.4179449225473323
10,0.7804885496183206,0.7530763358778626,0.7538625954198473,0.7379007633587786,0.7012442748091603,0.0,0.0,0.0,0.0,0.0,0.6295190839694657,0.6104503816793894,0.6298702290076336,0.6108702290076337,0.5760839694656488,1.1008396946564885,1.0623969465648855,1.0583358778625955,1.0363358778625955,0.9776717557251908,0.5802671755725192,0.5615496183206107,0.5807480916030535,0.5620381679389314,0.5278931297709923,0.7134198473282443,0.6912900763358779,0.6723893129770993,0.6535114503816795,0.6179923664122138,0.4802508178844059,0.45212322791712106,0.4635921483097056,0.44333042529989103,0.4179378407851691
