row number,col number,cluster_unique
1,38,NOEC02
1,39,NOEC02
2,35,NOEC01
2,36,NOEC02
2,37,NOEC02
2,38,NOEC02
2,39,NOEC02
2,40,NOEC02
3,33,NOEC02
3,34,NOEC02
3,35,NOEC02
3,36,NOEC02
3,37,NOEC02
3,38,NOEC02
3,39,NOEC02
3,40,NOEC02
3,41,NOEC02
4,33,NOEC02
4,34,NOEC02
4,35,NOEC02
4,36,NOEC02
4,37,NOEC02
4,38,NOEC02
4,39,NOEC02
4,40,NOEC02
4,41,NOEC02
4,42,NOEC02
4,43,NOEC02
5,33,NOEC03
5,34,NOEC03
5,35,NOEC03
5,36,NOEC02
5,37,NOEC02
5,38,NOEC02
5,39,NOEC02
5,40,NOEC02
5,41,NOEC02
5,42,NOEC02
5,43,NOEC02
5,44,NOEC02
5,47,NOEC01
5,48,NOEC02
5,49,NOEC02
6,32,NOEC02
6,33,NOEC03
6,34,NOEC02
6,35,NOEC02
6,36,NOEC02
6,37,NOEC02
6,38,NOEC02
6,39,NOEC02
6,40,NOEC02
6,41,NOEC02
6,42,NOEC02
6,43,NOEC02
6,44,NOEC02
6,45,NOEC02
6,46,NOEC01
6,47,NOEC01
6,48,NOEC01
6,49,NOEC02
6,50,NOEC01
6,52,NOEC01
6,53,NOEC01
6,54,NOEC01
7,29,NOEC02
7,30,NOEC03
7,31,NOEC02
7,32,NOEC02
7,33,NOEC02
7,34,NOEC03
7,35,NOEC02
7,36,NOEC02
7,37,NOEC02
7,38,NOEC02
7,39,NOEC02
7,40,NOEC02
7,41,NOEC02
7,42,NOEC02
7,43,NOEC02
7,44,NOEC02
7,45,NOEC02
7,46,NOEC01
7,47,NOEC01
7,48,NOEC01
7,49,NOEC01
7,50,NOEC01
7,51,NOEC01
7,52,NOEC01
7,53,NOEC01
7,54,NOEC01
7,55,NOEC01
7,56,NOEC01
8,28,NOEC03
8,29,NOEC03
8,30,NOEC03
8,31,NOEC03
8,32,NOEC02
8,33,NOEC03
8,34,NOEC03
8,35,NOEC03
8,36,NOEC02
8,37,NOEC02
8,38,NOEC02
8,39,NOEC02
8,40,NOEC02
8,41,NOEC02
8,42,NOEC02
8,43,NOEC02
8,44,NOEC02
8,45,NOEC02
8,46,NOEC02
8,47,NOEC01
8,48,NOEC01
8,49,NOEC01
8,50,NOEC01
8,51,NOEC01
8,52,NOEC01
8,53,NOEC01
8,54,NOEC01
8,55,NOEC01
9,28,NOEC03
9,29,NOEC02
9,30,NOEC02
9,31,NOEC03
9,32,NOEC02
9,33,NOEC03
9,34,NOEC03
9,35,NOEC02
9,36,NOEC03
9,37,NOEC02
9,38,NOEC02
9,39,NOEC02
9,40,NOEC02
9,41,NOEC02
9,42,NOEC02
9,43,NOEC02
9,44,NOEC02
9,45,NOEC02
9,46,NOEC02
9,47,NOEC01
9,48,NOEC01
9,49,NOEC01
9,50,NOEC01
9,51,NOEC01
9,52,NOEC01
9,53,NOEC01
9,54,NOEC01
9,55,NOEC01
10,28,NOEC03
10,29,NOEC03
10,30,NOEC03
10,31,NOEC03
10,32,NOEC03
10,33,NOEC03
10,34,NOEC03
10,35,NOEC03
10,36,NOEC03
10,37,NOEC03
10,38,NOEC02
10,39,NOEC02
10,40,NOEC02
10,41,NOEC02
10,42,NOEC02
10,43,NOEC02
10,44,NOEC02
10,45,NOEC02
10,46,NOEC02
10,47,NOEC01
10,48,NOEC01
10,49,NOEC01
10,50,NOEC01
10,51,NOEC01
10,52,NOEC01
10,53,NOEC01
11,29,NOEC03
11,30,NOEC03
11,31,NOEC03
11,32,NOEC03
11,33,NOEC03
11,34,NOEC03
11,35,NOEC03
11,36,NOEC03
11,37,NOEC03
11,38,NOEC02
11,39,NOEC02
11,40,NOEC02
11,41,NOEC02
11,42,NOEC02
11,43,NOEC02
11,44,NOEC02
11,45,NOEC02
11,46,NOEC02
11,47,NOEC02
11,48,NOEC01
11,49,NOEC01
11,50,NOEC01
11,51,NOEC01
11,52,NOEC01
11,53,NOEC01
12,29,NOEC03
12,30,NOEC03
12,31,NOEC03
12,32,NOEC03
12,33,NOEC03
12,34,NOEC03
12,35,NOEC03
12,36,NOEC03
12,37,NOEC03
12,38,NOEC02
12,39,NOEC02
12,40,NOEC02
12,41,NOEC02
12,42,NOEC02
12,43,NOEC02
12,44,NOEC02
12,45,NOEC02
12,46,NOEC02
12,47,NOEC02
12,48,NOEC01
12,49,NOEC01
12,50,NOEC01
12,51,NOEC01
12,52,NOEC01
12,53,NOEC01
13,30,NOEC03
13,32,NOEC03
13,33,NOEC03
13,34,NOEC03
13,35,NOEC03
13,36,NOEC03
