cluster,LCType7,LCType10,LCType9,LCType11,LCType3,LCType8,LCType1,LCType0,LCType5,LCType14,LCType12,LCType6,LCType13,LCType4,LCType16,LCType15,sqkm
Arhangay,1.3,54858.9,3.9,3.9,66.1,38.6,63.1,68.4,211.6,7.1,152.0,0.4,41.3,0.1,0.0,0.0,55516.8
Bayan_Olgiy,130.9,45093.1,33.8,11.7,10.0,19.9,5.4,386.8,3.2,8.0,6.4,0.0,10.9,0.0,458.5,149.4,46328.0
Bayanhongor,0.7,48855.8,0.0,1.3,0.5,0.7,0.0,287.4,0.3,0.0,8.2,0.0,26.2,0.0,68711.6,0.0,117892.8
Bulgan,1.9,42405.4,95.8,1.8,423.6,1037.9,4.1,22.0,3799.4,854.4,695.7,2.0,64.9,13.8,0.0,0.0,49422.7
Darhan_Uul,0.0,2869.8,1.0,0.0,5.0,39.6,0.0,0.0,278.6,529.1,199.3,0.0,33.8,0.1,0.0,0.0,3956.2
Dornod,0.0,129071.6,0.7,0.6,5.8,162.4,17.2,667.5,24.4,498.3,3346.3,0.0,123.9,0.4,7.6,0.0,133926.5
Dornogovi,646.7,58374.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2,0.0,55731.1,0.0,114794.3
Dundgovi,0.7,53025.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,22679.6,0.0,75723.3
Dzavhan,1.0,77414.7,14.1,3.2,48.4,88.5,3.5,491.1,12.1,3.6,7.1,0.0,32.4,0.0,4684.3,0.0,82803.9
Govi_Altay,1.7,45204.5,0.0,0.4,0.0,0.0,0.0,30.7,0.0,0.0,8.8,0.0,30.0,0.0,95260.2,0.8,140537.1
Govisumber,0.0,5318.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,0.0,0.0,0.0,5337.3
Hentiy,20.9,78967.6,198.5,2.0,271.6,1994.1,45.2,0.5,2319.9,533.7,569.5,2.4,37.6,0.8,0.0,0.0,84964.3
Hovd,3.0,42759.4,3.5,93.1,110.5,60.2,7.7,1757.5,12.5,43.4,145.1,0.5,7.7,0.4,30698.3,43.1,75746.0
Hovsgol,2100.6,88109.9,462.5,57.7,2493.6,2558.0,84.7,3085.9,3340.8,102.1,160.6,2.4,32.1,2.3,1.7,0.0,102594.7
None,1.7,121.3,0.4,0.0,0.2,0.5,0.1,0.0,2.0,8.0,5.9,0.0,0.0,0.0,0.0,2.9,143.0
Omnogovi,12.9,2683.7,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.9,0.0,17.1,0.0,164661.9,0.0,167380.4
Orhon,0.0,627.3,0.0,0.0,1.8,6.4,0.0,0.0,1.7,12.9,15.5,0.0,23.1,0.0,0.0,0.0,688.7
Selenge,2.6,24573.6,54.0,4.3,174.1,945.6,521.8,1.9,9670.7,4921.4,2261.3,1.2,89.5,11.3,0.0,0.0,43233.2
Suhbaatar,0.0,86778.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,48.4,0.0,3.2,0.0,86830.7
Tov,29.0,67659.2,228.1,8.0,327.8,1325.8,132.6,1.3,3916.1,631.1,478.1,0.9,99.4,1.6,0.0,0.0,74839.0
Ulaanbaatar,0.0,3751.7,0.4,1.7,24.1,46.5,29.0,0.0,230.6,46.8,26.5,0.0,168.1,0.4,0.0,0.0,4325.9
Uvs,5.0,58094.8,8.1,11.5,39.5,40.2,3.3,5501.6,12.0,50.4,28.7,0.0,20.8,0.0,5716.3,34.0,69566.3
ovorhangay,0.8,44917.3,0.3,0.0,21.4,12.7,59.7,0.0,68.6,6.9,25.1,0.0,29.3,0.0,18243.0,0.0,63385.0
