cluster,mm_evt_whe_rai_int_bas_wor_mean,tha_yld_whe_irr_int_bas_wor_mean,tha_yld_ptw_rai_int_bas_wor_mean,mm_cwd_ptw_rai_low_bas_wor_mean,mm_evt_bar_rai_low_bas_wor_mean,mm_evt_oat_rai_int_bas_wor_mean,tha_yld_bar_rai_low_bas_wor_mean,tha_yld_bar_rai_int_bas_wor_mean,mm_prc_bas_mean,tha_yld_whe_irr_hig_bas_wor_mean,tha_yld_oat_rai_hig_bas_wor_mean,tha_yld_oat_irr_hig_bas_wor_mean,mm_cwd_oat_irr_int_bas_wor_mean,mm_cwd_whe_rai_int_bas_wor_mean,tha_yld_ptw_irr_hig_bas_wor_mean,mm_evt_whe_rai_hig_bas_wor_mean,mm_cwd_ptw_rai_hig_bas_wor_mean,mm_evt_ptw_rai_low_bas_wor_mean,mm_cwd_bar_irr_int_bas_wor_mean,mm_cwd_whe_rai_hig_bas_wor_mean,mm_cwd_bar_irr_hig_bas_wor_mean,mm_cwd_ptw_rai_int_bas_wor_mean,mm_cwd_oat_rai_low_bas_wor_mean,tha_yld_bar_rai_hig_bas_wor_mean,mm_evt_ptw_irr_int_bas_wor_mean,mm_cwd_bar_rai_hig_bas_wor_mean,tha_yld_whe_rai_int_bas_wor_mean,mm_evt_oat_irr_hig_bas_wor_mean,mm_evt_ptw_rai_hig_bas_wor_mean,mm_cwd_bar_rai_int_bas_wor_mean,mm_cwd_whe_irr_hig_bas_wor_mean,mm_evt_ptw_rai_int_bas_wor_mean,mm_cwd_ptw_irr_hig_bas_wor_mean,mm_evt_bar_irr_int_bas_wor_mean,mm_evt_oat_irr_int_bas_wor_mean,mm_evt_oat_rai_low_bas_wor_mean,tha_yld_oat_irr_int_bas_wor_mean,mm_cwd_bar_rai_low_bas_wor_mean,mm_evt_oat_rai_hig_bas_wor_mean,tha_yld_oat_rai_low_bas_wor_mean,tha_yld_ptw_rai_low_bas_wor_mean,tha_yld_whe_rai_low_bas_wor_mean,mm_evt_whe_irr_int_bas_wor_mean,mm_cwd_oat_rai_int_bas_wor_mean,mm_evt_whe_rai_low_bas_wor_mean,tha_yld_bar_irr_hig_bas_wor_mean,mm_evt_ptw_irr_hig_bas_wor_mean,tha_yld_ptw_irr_int_bas_wor_mean,tha_yld_whe_rai_hig_bas_wor_mean,mm_cwd_whe_irr_int_bas_wor_mean,mm_evt_bar_rai_hig_bas_wor_mean,mm_cwd_ptw_irr_int_bas_wor_mean,mm_evt_bar_rai_int_bas_wor_mean,mm_evt_bar_irr_hig_bas_wor_mean,mm_evt_whe_irr_hig_bas_wor_mean,tha_yld_bar_irr_int_bas_wor_mean,tha_yld_ptw_rai_hig_bas_wor_mean,mm_cwd_oat_irr_hig_bas_wor_mean,tha_yld_oat_rai_int_bas_wor_mean,mm_cwd_whe_rai_low_bas_wor_mean,mm_cwd_oat_rai_hig_bas_wor_mean
Arhangay,70.38,0.64,0.77,21.13,72.71,69.8,0.2,0.4,286.1,1.12,0.47,0.94,37.32,29.26,1.82,62.5,26.99,74.85,37.45,28.91,43.11,27.19,22.48,0.57,112.34,28.72,0.39,116.08,64.8,29.01,43.36,72.79,40.09,110.48,110.31,72.99,0.59,22.33,62.08,0.2,0.46,0.18,111.67,29.01,73.45,1.12,118.25,1.21,0.57,37.96,62.08,34.98,69.84,116.4,117.21,0.66,0.97,42.87,0.36,22.54,28.72
Bayan_Olgiy,0,0.36,0,0,0,0,0,0,139.58,0.62,0,0.51,47.01,0,1.03,0,0,0,47.3,0,50.99,0,0,0,62.88,0,0,65.42,0,0,51.38,0,50.91,62.46,62.11,0,0.33,0,0,0,0,0,63.21,0,0,0.62,66.54,0.68,0,47.92,0,47.18,0,66.09,66.56,0.36,0,50.43,0,0,0
Bayanhongor,0,2.21,0,8.52,7.08,0,0.02,0,159.17,3.74,0,2.9,233.58,0,5.92,0,0,7.97,245.47,0,263.39,0.16,9.35,0,312.24,0,0,312.72,0,0,265.27,0.15,260.95,309.66,294.3,7.19,1.86,9.16,0,0.02,0.05,0.02,312.24,0,7.24,3.74,329.36,3.88,0,247.4,0,243.65,0,327.21,329.7,2.21,0,251.91,0,9.38,0
Bulgan,172.88,1.54,1.99,33.58,173.07,170.3,0.48,1.01,369.77,2.68,1.22,2.21,81.38,57.96,4.35,156.78,45,176.57,81.91,54.91,94.33,45.59,44.9,1.47,246.06,54.62,0.99,258.28,162.81,57.47,94.77,176.38,83.05,247.09,246.18,175,1.41,44.04,154.83,0.49,1.16,0.45,249.54,57.67,176.26,2.68,259.3,2.88,1.47,82.68,155.74,71.92,171.04,260.29,262.13,1.57,2.59,93.11,0.9,44.7,54.65
Darhan_Uul,211.6,2.55,2.79,65.68,206.18,207.22,0.63,1.38,326.1,4.37,1.79,3.54,154.47,130.16,6.95,211.32,104.67,202.68,156.17,146.75,177.58,90.49,98.43,2.21,331.44,145.5,1.37,359.7,212.91,128.93,178.62,209.95,160.77,343.54,339.55,210.38,2.27,97.07,206.75,0.67,1.57,0.61,346.73,128.59,211.88,4.37,350.5,4.58,2.21,157.42,209.97,142.1,209.73,364.3,366.92,2.57,4.04,175.49,1.22,98.99,145.47
Dornod,102.13,2.86,1.32,51.37,138.05,99.83,0.39,0.6,281.34,4.87,0.61,3.92,235.4,69.38,7.62,79.26,32.77,140.46,235.8,55.05,266.24,40.47,90.48,0.75,384.53,54.76,0.6,418.8,80.7,68.8,267.61,102.17,252.2,390.69,389.48,140.16,2.53,89.7,77.47,0.41,1.06,0.38,394.35,69.17,141.42,4.87,414.53,5,0.75,237.26,78.76,223.27,100.7,420.79,423.84,2.87,1.48,265.51,0.53,90.54,54.91
Dornogovi,0,3.69,0,0,0,0,0,0,155.53,6.19,0,4.7,432.89,0,9.91,0,0,0,463.9,0,506.33,0,0,0,549.66,0,0,563.66,0,0,509.48,0,490.18,561.89,517.52,0,3.01,0,0,0,0,0,565.94,0,0,6.19,588.45,6.49,0,466.81,0,449.96,0,604.02,608.32,3.69,0,477.65,0,0,0
Dundgovi,0,3.17,0,0,0,0,0,0,146.2,5.36,0,4.27,354.11,0,8.57,0,0,0,365.84,0,400.37,0,0,0,455.59,0,0,474.96,0,0,403.05,0,402.68,450.93,435.18,0,2.75,0,0,0,0,0,454.71,0,0,5.36,493.5,5.6,0,368.58,0,364.73,0,484.88,488.51,3.17,0,392.83,0,0,0
Dzavhan,31.53,0.8,0.45,56.31,37.43,31.22,0.09,0.17,201.29,1.39,0.19,1.14,73.55,47.87,2.21,26.28,58.35,44.89,73.7,41.9,79.51,60.82,51.11,0.23,117.86,41.59,0.16,122.67,38.55,47.58,80.07,42.51,76.99,117.86,117.63,37.9,0.72,50.43,26.06,0.1,0.27,0.09,119.22,47.34,38.06,1.39,123.43,1.46,0.23,74.57,26.11,71.33,31.38,123.53,124.41,0.81,0.59,78.94,0.15,51.44,41.58
Govi_Altay,4.93,2.56,0.1,39.38,10.7,4.8,0.03,0.03,144.28,4.34,0.01,3.35,262.22,9.44,6.82,1.53,6.11,22.12,275.96,3.04,296.42,16.39,18.74,0.01,353.05,3.02,0.03,353.93,3.51,9.37,298.74,9.33,296.75,349.66,332.8,10.71,2.15,18.71,1.38,0.03,0.13,0.02,352.91,9.19,10.78,4.34,373.38,4.48,0.01,278.56,1.52,276.17,4.89,369.77,372.59,2.57,0.06,283.35,0.02,18.87,2.74
