r,t,f,y,UseByTechnologyAnnual
REGION1,DEMAGRCOA,COA,2016,0.0098
REGION1,DEMAGRCOA,COA,2017,0.0106
REGION1,DEMAGRCOA,COA,2018,0.0113
REGION1,DEMAGRCOA,COA,2019,0.012
REGION1,DEMAGRCOA,COA,2020,0.0132
REGION1,DEMAGRCOA,COA,2021,0.0143
REGION1,DEMAGRCOA,COA,2022,0.0156
REGION1,DEMAGRCOA,COA,2023,0.0167
REGION1,DEMAGRCOA,COA,2024,0.0179
REGION1,DEMAGRCOA,COA,2025,0.0191
REGION1,DEMAGRCOA,COA,2026,0.0203
REGION1,DEMAGRCOA,COA,2027,0.0214
REGION1,DEMAGRCOA,COA,2028,0.0227
REGION1,DEMAGRCOA,COA,2029,0.0238
REGION1,DEMAGRCOA,COA,2030,0.0248
REGION1,DEMAGRDSL,DSL,2016,1.8002
REGION1,DEMAGRDSL,DSL,2017,1.9318
REGION1,DEMAGRDSL,DSL,2018,2.0634
REGION1,DEMAGRDSL,DSL,2019,2.195
REGION1,DEMAGRDSL,DSL,2020,2.4108
REGION1,DEMAGRDSL,DSL,2021,2.6264
REGION1,DEMAGRDSL,DSL,2022,2.8421
REGION1,DEMAGRDSL,DSL,2023,3.0578
REGION1,DEMAGRDSL,DSL,2024,3.2734
REGION1,DEMAGRDSL,DSL,2025,3.4889
REGION1,DEMAGRDSL,DSL,2026,3.7045
REGION1,DEMAGRDSL,DSL,2027,3.9199
REGION1,DEMAGRDSL,DSL,2028,4.1353
REGION1,DEMAGRDSL,DSL,2029,4.3508
REGION1,DEMAGRDSL,DSL,2030,4.5393
REGION1,DEMAGRELCC02,ELCC02,2016,0.1067
REGION1,DEMAGRELCC02,ELCC02,2017,0.1145
REGION1,DEMAGRELCC02,ELCC02,2018,0.1223
REGION1,DEMAGRELCC02,ELCC02,2019,0.1301
REGION1,DEMAGRELCC02,ELCC02,2020,0.1429
REGION1,DEMAGRELCC02,ELCC02,2021,0.1557
REGION1,DEMAGRELCC02,ELCC02,2022,0.1685
REGION1,DEMAGRELCC02,ELCC02,2023,0.1813
REGION1,DEMAGRELCC02,ELCC02,2024,0.194
REGION1,DEMAGRELCC02,ELCC02,2025,0.2068
REGION1,DEMAGRELCC02,ELCC02,2026,0.2196
REGION1,DEMAGRELCC02,ELCC02,2027,0.2324
REGION1,DEMAGRELCC02,ELCC02,2028,0.2451
REGION1,DEMAGRELCC02,ELCC02,2029,0.2579
REGION1,DEMAGRELCC02,ELCC02,2030,0.2691
REGION1,DEMAGRELCN02,ELCN02,2016,0.4715
REGION1,DEMAGRELCN02,ELCN02,2017,0.506
REGION1,DEMAGRELCN02,ELCN02,2018,0.5405
REGION1,DEMAGRELCN02,ELCN02,2019,0.5749
REGION1,DEMAGRELCN02,ELCN02,2020,0.6314
REGION1,DEMAGRELCN02,ELCN02,2021,0.688
REGION1,DEMAGRELCN02,ELCN02,2022,0.7444
REGION1,DEMAGRELCN02,ELCN02,2023,0.8009
REGION1,DEMAGRELCN02,ELCN02,2024,0.8574
REGION1,DEMAGRELCN02,ELCN02,2025,0.9139
REGION1,DEMAGRELCN02,ELCN02,2026,0.9703
REGION1,DEMAGRELCN02,ELCN02,2027,1.0268
REGION1,DEMAGRELCN02,ELCN02,2028,1.0832
REGION1,DEMAGRELCN02,ELCN02,2029,1.1396
REGION1,DEMAGRELCN02,ELCN02,2030,1.189
REGION1,DEMAGRELCS02,ELCS02,2016,0.5768
REGION1,DEMAGRELCS02,ELCS02,2017,0.619
REGION1,DEMAGRELCS02,ELCS02,2018,0.6611
REGION1,DEMAGRELCS02,ELCS02,2019,0.7033
REGION1,DEMAGRELCS02,ELCS02,2020,0.7724
REGION1,DEMAGRELCS02,ELCS02,2021,0.8415
REGION1,DEMAGRELCS02,ELCS02,2022,0.9107
REGION1,DEMAGRELCS02,ELCS02,2023,0.9797
REGION1,DEMAGRELCS02,ELCS02,2024,1.0488
REGION1,DEMAGRELCS02,ELCS02,2025,1.1179
REGION1,DEMAGRELCS02,ELCS02,2026,1.1869
REGION1,DEMAGRELCS02,ELCS02,2027,1.256
REGION1,DEMAGRELCS02,ELCS02,2028,1.325
REGION1,DEMAGRELCS02,ELCS02,2029,1.394
REGION1,DEMAGRELCS02,ELCS02,2030,1.4544
REGION1,DEMAGRGSL,GSL,2016,0.7287
REGION1,DEMAGRGSL,GSL,2017,0.7819
